ProductName,ProductCode,ProductTypeName,ProductMainGroupName,ProductSubGroupName,UOMName,PhysicalStockQty
0.8 MM Tip,MT,Consumable,Assembling,Assembling,Pcs,
1/2'' 2 Coil,1/2C,Assets,Fabrication,Fabrication,Pcs,
25 Gurmoth,25   GRMT,Ready to Fit,Assembling,Assembling,Pcs,
38 Gurmoth,38 Gurmoth,Ready to Fit,Assembling,Assembling,Pcs,
4'' Angle Grinder G10,AG10,Raw Material,Assembling,Assembling,Pcs,
4'' Angle Grinder M100,AM100Grinder,Raw Material,Assembling,Assembling,Pcs,
5 Ply Box Big,5P,Raw Material,Assembling,Assembling,Pcs,
5 Ply Box Small,PBS,Raw Material,Assembling,Assembling,Kg,
530 MM Brake Rod,530BR,Ready to Fit,Assembling,Assembling,Pcs,
Acceleator,ACLTR,Ready to Fit,Assembling,Assembling,Pcs,
ADHESIVE  LIQUID,AL001,Consumable,Fabrication,Fabrication,Kg,
Air Bubbles Roll,ABRO,Consumable,Dispatch,Dispatch,Kg,
ALUMINIUM SHEET,ASHE,Raw Material,Fabrication,Fabrication,Kg,
Angle Punching Die,APD1,Assets,Fabrication,Fabrication,Pcs,
Argon Cylender,ACD,Consumable,Fabrication,Fabrication,Pcs,
Assembled Desktop,ADTP,Assets,Assembling,Assembling,Set,
Automobile Lighting Parts,APL,Raw Material,Assembling,Assembling,Pcs,
